announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,imp_wd,imp_wd_spath,imp_wd_dpath,number_rare_ases,rare_ases_avg,flaps,nadas,label,window_start,window_end
30,4,30,0,28,2,0,10,3,2.5,3,0,1,1,4,0,0,0,0,1,0,0,0,19,0.12666666666666668,2,0,normal,2001-07-19 00:06:11,2001-07-19 00:06:12
23,0,23,0,22,1,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.1865671641791045,0,0,normal,2001-07-19 00:06:16,2001-07-19 00:06:17
16,0,16,0,14,0,0,12,2,3.0,3,0,0,0,2,0,0,0,0,0,0,0,0,11,0.12941176470588237,0,0,normal,2001-07-19 00:06:38,2001-07-19 00:06:39
40,12,40,0,40,0,0,13,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.17061611374407584,0,0,normal,2001-07-19 00:06:39,2001-07-19 00:06:40
21,3,21,0,17,4,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.058394160583941604,0,0,normal,2001-07-19 00:06:43,2001-07-19 00:06:44
3,1,3,0,3,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3333333333333333,0,0,normal,2001-07-19 00:07:05,2001-07-19 00:07:06
0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:07:06,2001-07-19 00:07:07
40,0,40,0,37,3,0,14,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.1461187214611872,0,0,normal,2001-07-19 00:07:07,2001-07-19 00:07:08
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:07:10,2001-07-19 00:07:11
16,4,16,0,15,1,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.09259259259259259,0,0,normal,2001-07-19 00:07:11,2001-07-19 00:07:12
1,5,1,0,1,0,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5833333333333334,0,10,normal,2001-07-19 00:07:32,2001-07-19 00:07:33
8,1,8,0,5,3,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.34615384615384615,0,0,normal,2001-07-19 00:07:36,2001-07-19 00:07:37
15,5,15,0,15,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.16279069767441862,0,0,normal,2001-07-19 00:07:42,2001-07-19 00:07:43
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:07:58,2001-07-19 00:07:59
0,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:08:02,2001-07-19 00:08:03
4,0,4,0,4,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.7368421052631579,0,0,normal,2001-07-19 00:08:03,2001-07-19 00:08:04
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:08:04,2001-07-19 00:08:05
18,5,18,0,17,1,0,15,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.15503875968992248,0,0,normal,2001-07-19 00:08:08,2001-07-19 00:08:09
5,0,5,0,1,4,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.08,0,0,normal,2001-07-19 00:08:26,2001-07-19 00:08:27
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:08:29,2001-07-19 00:08:30
7,0,7,0,3,4,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.16216216216216217,0,0,normal,2001-07-19 00:08:30,2001-07-19 00:08:31
19,16,19,0,14,3,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.3488372093023256,0,10,normal,2001-07-19 00:08:38,2001-07-19 00:08:39
1,0,1,0,1,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0,0,normal,2001-07-19 00:08:55,2001-07-19 00:08:56
10,0,10,0,6,4,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.11764705882352941,0,0,normal,2001-07-19 00:08:56,2001-07-19 00:08:57
16,2,16,0,12,4,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.17857142857142858,0,0,normal,2001-07-19 00:08:57,2001-07-19 00:08:58
16,6,16,0,9,7,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.15463917525773196,0,0,normal,2001-07-19 00:09:08,2001-07-19 00:09:09
7,0,7,0,7,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.39285714285714285,0,0,normal,2001-07-19 00:09:09,2001-07-19 00:09:10
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:09:10,2001-07-19 00:09:11
6,3,6,0,6,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.3,1,0,normal,2001-07-19 00:09:23,2001-07-19 00:09:24
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:09:29,2001-07-19 00:09:30
131,0,131,0,123,8,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.037102473498233215,0,0,normal,2001-07-19 00:09:34,2001-07-19 00:09:35
12,0,12,0,9,3,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.2982456140350877,0,0,normal,2001-07-19 00:09:50,2001-07-19 00:09:51
5,1,5,0,4,1,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.08,0,0,normal,2001-07-19 00:09:53,2001-07-19 00:09:54
129,2,129,0,126,3,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.03486238532110092,0,0,normal,2001-07-19 00:10:00,2001-07-19 00:10:01
19,6,19,0,11,8,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.1553398058252427,0,0,normal,2001-07-19 00:10:20,2001-07-19 00:10:21
3,0,3,0,0,3,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.6,0,0,normal,2001-07-19 00:10:21,2001-07-19 00:10:22
33,5,33,0,28,5,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.12101910828025478,0,0,normal,2001-07-19 00:10:30,2001-07-19 00:10:31
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:10:38,2001-07-19 00:10:39
19,12,19,0,11,8,0,10,2,8.0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0.07518796992481203,0,11,normal,2001-07-19 00:10:50,2001-07-19 00:10:51
4,0,4,0,0,4,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:10:54,2001-07-19 00:10:55
28,9,28,0,22,6,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.10795454545454546,0,0,normal,2001-07-19 00:11:01,2001-07-19 00:11:02
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:11:10,2001-07-19 00:11:11
3,3,3,0,0,3,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,10,normal,2001-07-19 00:11:15,2001-07-19 00:11:16
0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:11:20,2001-07-19 00:11:21
19,8,19,0,9,10,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.1557377049180328,0,0,normal,2001-07-19 00:11:29,2001-07-19 00:11:30
10,1,10,0,10,0,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.11864406779661017,0,0,normal,2001-07-19 00:11:42,2001-07-19 00:11:43
2,1,2,0,2,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.9,0,0,normal,2001-07-19 00:11:46,2001-07-19 00:11:47
19,2,19,0,12,7,0,12,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.22556390977443608,0,0,normal,2001-07-19 00:11:56,2001-07-19 00:11:57
4,1,4,0,4,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.45,0,0,normal,2001-07-19 00:12:11,2001-07-19 00:12:12
4,44,4,0,4,0,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.7272727272727273,0,10,normal,2001-07-19 00:12:16,2001-07-19 00:12:17
0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,2001-07-19 00:12:17,2001-07-19 00:12:18
28,2,28,0,17,11,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.11299435028248588,0,0,normal,2001-07-19 00:12:22,2001-07-19 00:12:23
1,0,1,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,normal,2001-07-19 00:12:38,2001-07-19 00:12:39
1,0,1,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,normal,2001-07-19 00:12:39,2001-07-19 00:12:40
6,3,6,0,6,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.4166666666666667,0,0,normal,2001-07-19 00:12:40,2001-07-19 00:12:41
2,20,2,0,2,0,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.8571428571428571,0,10,normal,2001-07-19 00:12:43,2001-07-19 00:12:44
7,0,7,0,3,4,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.2037037037037037,0,0,normal,2001-07-19 00:12:44,2001-07-19 00:12:45
52,1,52,0,35,17,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.11904761904761904,0,0,normal,2001-07-19 00:12:52,2001-07-19 00:12:53
31,0,31,0,17,14,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.14093959731543623,0,0,normal,2001-07-19 00:13:06,2001-07-19 00:13:07
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:13:10,2001-07-19 00:13:11
2,0,2,0,1,1,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8333333333333334,0,0,normal,2001-07-19 00:13:12,2001-07-19 00:13:13
3,54,3,0,2,1,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.5625,0,10,normal,2001-07-19 00:13:14,2001-07-19 00:13:15
416,18,416,0,409,7,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0.02521823472356935,0,0,normal,2001-07-19 00:13:20,2001-07-19 00:13:21
40,0,40,0,21,19,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.07692307692307693,0,0,normal,2001-07-19 00:13:35,2001-07-19 00:13:36
6,12,6,0,1,5,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2,0,10,normal,2001-07-19 00:13:41,2001-07-19 00:13:42
94,2,94,0,90,4,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0.08401639344262295,0,0,normal,2001-07-19 00:13:46,2001-07-19 00:13:47
54,2,54,0,49,5,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.07883817427385892,0,0,normal,2001-07-19 00:14:04,2001-07-19 00:14:05
8,124,8,0,4,4,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.42105263157894735,0,10,normal,2001-07-19 00:14:09,2001-07-19 00:14:10
20,0,20,0,19,1,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.2711864406779661,0,0,normal,2001-07-19 00:14:13,2001-07-19 00:14:14
14,4,14,0,12,2,0,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.19736842105263158,0,0,normal,2001-07-19 00:14:34,2001-07-19 00:14:35
4,62,4,0,1,1,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9166666666666666,0,10,normal,2001-07-19 00:14:39,2001-07-19 00:14:40
489,3,489,0,478,11,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.014805922368947578,0,0,normal,2001-07-19 00:14:43,2001-07-19 00:14:44
2,13,2,0,2,0,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,0,10,normal,2001-07-19 00:15:03,2001-07-19 00:15:04
3,0,3,0,3,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3333333333333333,0,0,normal,2001-07-19 00:15:06,2001-07-19 00:15:07
2,0,2,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,normal,2001-07-19 00:15:10,2001-07-19 00:15:11
365,3,365,0,328,37,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.0279388508170796,0,0,normal,2001-07-19 00:15:14,2001-07-19 00:15:15
1,0,1,0,1,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0,0,normal,2001-07-19 00:15:29,2001-07-19 00:15:30
12,1,12,0,11,1,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.30357142857142855,0,0,normal,2001-07-19 00:15:31,2001-07-19 00:15:32
13,0,13,0,12,1,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.14925373134328357,0,0,normal,2001-07-19 00:15:34,2001-07-19 00:15:35
31,0,31,0,30,1,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.16783216783216784,0,0,normal,2001-07-19 00:15:40,2001-07-19 00:15:41
2,0,2,0,2,0,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,normal,2001-07-19 00:15:58,2001-07-19 00:15:59
